"","kelp","substrate","depth","x","y","period","ammonium_spring_mean","ammonium_summer_minimum","currentSpeed_summer_mean","nitrate_summer_minimum","PAR_summer_mean","temperature_summer_mean","turbidity_summer_mean","salinity_summer_mean","slope_5x5","TPI_3x3","substrate_aligned","bathymetry_20","set","cell","Cluster","weight"
"1",1,1,0.952737390995026,1141636.42066,381141.153468,"2014_2019",1.15882217884064,0.851237595081329,0.136963754892349,5.8868556022644,106.596855163574,12.3134813308716,0.771155476570129,31.0213317871094,0.794953227043152,-0.00521081686019897,1,0.952737390995026,"train",1,2,1.71394230769229
"2",1,1,0.284022897481918,1216070.63931,422629.953425,"2014_2019",1.65618848800659,1.00306129455566,0.769965946674347,5.15569019317627,119.738800048828,13.838752746582,2.12687301635742,26.6715507507324,30.2221717834473,5.25945425033569,1,0.284022897481918,"train",2,1,1.32037037037036
"3",1,1,-3.5581214427948,1201639.154472,401801.724536,"2014_2019",1.79348182678223,1.56166768074036,0.753228664398193,9.18033695220947,120.17276763916,13.2622423171997,1.60114777088165,28.0975551605225,7.45364761352539,0.334668397903442,1,-3.5581214427948,"train",3,4,0.47852348993288
"4",1,1,1.95120680332184,1142413.634776,380728.344371,"2014_2019",1.25450932979584,1.02770018577576,0.161505967378616,7.28877019882202,107.397850036621,12.1231746673584,0.789292931556702,30.976619720459,1.1740231513977,0.00373196601867676,1,1.95120680332184,"train",4,2,1.71394230769229
"5",1,1,1.08583521842957,1157809.084656,376143.803191,"2014_2019",1.54840362071991,1.82757472991943,0.124759510159492,13.3834953308105,114.656265258789,11.8151082992554,0.854809522628784,30.7728424072266,1.22818899154663,0.00207853317260742,1,1.08583521842957,"train",5,2,1.71394230769229
"6",1,1,-2.61688232421875,1172397.015466,371033.609425,"2014_2019",1.54614555835724,1.89561688899994,0.366432279348373,14.3093824386597,117.153419494629,11.3131561279297,0.920357823371887,30.7129726409912,5.15594720840454,-0.93696391582489,1,-2.61688232421875,"train",7,4,0.47852348993288
"7",1,1,0.271052718162537,1057053.268911,557430.943353,"2014_2019",1.45386934280396,1.13866555690765,0.737585544586182,10.3841991424561,111.674507141113,11.3032655715942,0.702553927898407,28.9565963745117,2.85280609130859,0.0172144174575806,1,0.271052718162537,"train",9,2,1.71394230769229
"8",1,1,0.164325192570686,1142564.700772,380662.972579,"2014_2019",1.2676248550415,1.03340828418732,0.159593030810356,7.32397985458374,107.44881439209,12.132755279541,0.791589736938477,30.9652233123779,1.58782541751862,-0.066600501537323,1,0.164325192570686,"train",10,2,1.71394230769229
"9",1,1,-1.04028654098511,1200527.325942,405722.484276,"2014_2019",1.7730461359024,1.42302000522614,0.618112325668335,8.12287425994873,119.688148498535,13.8065738677979,1.60870671272278,27.6297340393066,9.44660949707031,0.287499189376831,1,-1.04028654098511,"train",12,4,0.47852348993288
"10",1,1,-5.17677545547485,1202021.750617,386564.750619,"2014_2019",1.73325502872467,1.58457744121552,0.527543485164642,9.06212139129639,120.058670043945,13.3170604705811,1.44011497497559,28.5612545013428,20.0062122344971,3.0233473777771,1,-5.17677545547485,"train",14,4,0.47852348993288
