"","Year","Date","kelp","substrate","depth","grid_ID","x","y"
"88",NA,"",0,"1",-1.59821844100952,127872,1075460,553640
"89",NA,"",0,"1",10.4335975646973,127879,1078960,553640
"90",NA,"",0,"1",19.8258800506592,127891,1084960,553640
"91",NA,"",0,"1",14.2462692260742,127896,1087460,553640
"92",NA,"",0,"2",27.2459373474121,128435,1074460,553140
"93",NA,"",0,"1",4.43246412277222,128436,1074960,553140
"94",NA,"",0,"1",-0.500633060932159,128437,1075460,553140
"95",NA,"",0,"2",39.1952629089355,128446,1079960,553140
"96",NA,"",0,"1",7.81035232543945,128456,1084960,553140
"97",NA,"",0,"2",28.7222309112549,129000,1074460,552640
"98",NA,"",0,"1",3.86770725250244,129001,1074960,552640
"99",NA,"",0,"1",-1.29925155639648,129002,1075460,552640
"100",NA,"",0,"1",-2.52452158927917,129010,1079460,552640
"101",NA,"",0,"1",24.2479953765869,129011,1079960,552640
"102",NA,"",0,"1",4.6554217338562,129028,1088460,552640
"103",NA,"",0,"1",11.8467569351196,129566,1074960,552140
"104",NA,"",0,"1",3.62154150009155,129567,1075460,552140
"105",NA,"",0,"1",-1.81904363632202,129568,1075960,552140
"106",NA,"",0,"1",0.120210058987141,129575,1079460,552140
"107",NA,"",0,"2",26.7047119140625,129576,1079960,552140
"108",NA,"",0,"1",25.525182723999,129593,1088460,552140
"109",NA,"",0,"1",20.2123279571533,130132,1075460,551640
"110",NA,"",0,"1",6.35283184051514,130133,1075960,551640
"111",NA,"",0,"1",-1.49466073513031,130134,1076460,551640
"112",NA,"",0,"1",-1.31262362003326,130139,1078960,551640
"113",NA,"",0,"2",8.07869338989258,130140,1079460,551640
"114",NA,"",0,"2",34.1738929748535,130141,1079960,551640
"115",NA,"",0,"1",38.6982498168945,130698,1075960,551140
"116",NA,"",0,"1",3.56372785568237,130699,1076460,551140
"117",NA,"",0,"2",4.92562484741211,130704,1078960,551140
"118",NA,"",0,"2",30.2324123382568,130705,1079460,551140
"119",NA,"",0,"2",38.8718338012695,130707,1080460,551140
"120",NA,"",0,"1",32.1648559570312,130724,1088960,551140
"121",NA,"",0,"2",22.0036869049072,131264,1076460,550640
"122",NA,"",0,"1",0.579953253269196,131265,1076960,550640
"123",NA,"",0,"1",-1.99155330657959,131266,1077460,550640
"124",NA,"",0,"1",5.1424241065979,131269,1078960,550640
"125",NA,"",0,"1",29.952220916748,131272,1080460,550640
"126",NA,"",0,"1",2.39883041381836,131290,1089460,550640
"127",NA,"",0,"1",14.7242488861084,131819,1071460,550140
"128",NA,"",0,"2",24.3861522674561,131830,1076960,550140
"129",NA,"",0,"1",0.970515966415405,131831,1077460,550140
"130",NA,"",0,"1",-2.4047315120697,131832,1077960,550140
"131",NA,"",0,"1",-1.04985427856445,131833,1078460,550140
"132",NA,"",0,"2",22.3819046020508,131834,1078960,550140
"133",NA,"",0,"1",27.64599609375,131857,1090460,550140
"134",NA,"",0,"2",5.99087142944336,132384,1071460,549640
"135",NA,"",0,"1",21.8858737945557,132385,1071960,549640
"136",NA,"",0,"1",4.86558771133423,132396,1077460,549640
"137",NA,"",0,"1",-0.226305171847343,132397,1077960,549640
"138",NA,"",0,"1",-0.145624279975891,132398,1078460,549640
"139",NA,"",0,"1",8.95805358886719,132399,1078960,549640
"140",NA,"",0,"2",17.9303741455078,132400,1079460,549640
"141",NA,"",0,"1",33.5017127990723,132401,1079960,549640
"142",NA,"",0,"1",27.3098373413086,132423,1090960,549640
"143",NA,"",0,"1",-0.566491603851318,132921,1057460,549140
"144",NA,"",0,"2",8.51213836669922,132922,1057960,549140
"145",NA,"",0,"2",21.4575862884521,132923,1058460,549140
"146",NA,"",0,"2",32.5123443603516,132924,1058960,549140
"147",NA,"",0,"1",9.28898429870605,132949,1071460,549140
"148",NA,"",0,"1",11.6435947418213,132950,1071960,549140
"149",NA,"",0,"2",35.3171844482422,132961,1077460,549140
"150",NA,"",0,"1",4.06905698776245,132962,1077960,549140
"151",NA,"",0,"1",-0.220550730824471,132963,1078460,549140
"152",NA,"",0,"2",0.510431110858917,132964,1078960,549140
"153",NA,"",0,"1",0.606271266937256,132965,1079460,549140
"154",NA,"",0,"1",1.2635486125946,132966,1079960,549140
"155",NA,"",0,"1",35.493782043457,132967,1080460,549140
"156",NA,"",0,"1",25.108528137207,132968,1080960,549140
"157",NA,"",0,"2",26.5769882202148,132969,1081460,549140
"158",NA,"",0,"1",19.9962291717529,132976,1084960,549140
"159",NA,"",0,"1",5.12128162384033,132977,1085460,549140
"160",NA,"",0,"2",12.3406677246094,132978,1085960,549140
"161",NA,"",0,"1",31.1483726501465,132979,1086460,549140
"162",NA,"",0,"1",8.40641117095947,132982,1087960,549140
"163",NA,"",0,"1",12.5239019393921,132983,1088460,549140
"164",NA,"",0,"1",20.2830963134766,132984,1088960,549140
"165",NA,"",0,"1",0.420406222343445,133487,1057960,548640
"166",NA,"",0,"1",11.0950632095337,133488,1058460,548640
"167",NA,"",0,"2",29.3093223571777,133489,1058960,548640
"168",NA,"",0,"1",30.9438610076904,133490,1059460,548640
"169",NA,"",0,"1",5.70745658874512,133513,1070960,548640
"170",NA,"",0,"1",0.0295185018330812,133515,1071960,548640
"171",NA,"",0,"1",38.4221038818359,133516,1072460,548640
"172",NA,"",0,"1",7.66544198989868,133527,1077960,548640
"173",NA,"",0,"1",0.396876126527786,133528,1078460,548640
"174",NA,"",0,"1",1.37302052974701,133529,1078960,548640
"175",NA,"",0,"1",0.855875551700592,133530,1079460,548640
"176",NA,"",0,"1",0.646007776260376,133531,1079960,548640
"177",NA,"",0,"1",14.1175718307495,133532,1080460,548640
"178",NA,"",0,"1",0.904880046844482,133533,1080960,548640
"179",NA,"",0,"1",-0.868957459926605,133534,1081460,548640
"180",NA,"",0,"1",-0.960622310638428,133535,1081960,548640
"181",NA,"",0,"2",13.330039024353,133536,1082460,548640
"182",NA,"",0,"2",33.8323173522949,133537,1082960,548640
"183",NA,"",0,"2",33.7242393493652,133539,1083960,548640
"184",NA,"",0,"2",14.6258735656738,133540,1084460,548640
"185",NA,"",0,"1",2.12089681625366,133541,1084960,548640
"186",NA,"",0,"1",0.477344214916229,133542,1085460,548640
"187",NA,"",0,"1",-1.06361150741577,133543,1085960,548640
"188",NA,"",0,"2",4.96247243881226,133544,1086460,548640
"189",NA,"",0,"2",8.92076587677002,133545,1086960,548640
"190",NA,"",0,"2",8.49164009094238,133546,1087460,548640
"191",NA,"",0,"1",-2.86442565917969,133547,1087960,548640
"192",NA,"",0,"1",5.49941062927246,133549,1088960,548640
"193",NA,"",0,"1",-3.00764799118042,134052,1057960,548140
"194",NA,"",0,"1",-0.83084762096405,134053,1058460,548140
"195",NA,"",0,"2",16.9294834136963,134054,1058960,548140
"196",NA,"",0,"2",32.1780166625977,134055,1059460,548140
"197",NA,"",0,"1",11.8737468719482,134093,1078460,548140
"198",NA,"",0,"1",1.75922954082489,134094,1078960,548140
"199",NA,"",0,"1",1.63242518901825,134095,1079460,548140
"200",NA,"",0,"1",1.05535817146301,134096,1079960,548140
"201",NA,"",0,"1",0.359263896942139,134097,1080460,548140
"202",NA,"",0,"1",-1.66856837272644,134098,1080960,548140
"203",NA,"",0,"1",-1.81939136981964,134101,1082460,548140
"204",NA,"",0,"2",4.67420387268066,134102,1082960,548140
"205",NA,"",0,"2",9.11131286621094,134103,1083460,548140
